"Start (UTC)","V_avg (km/s)","Duration (s)","Peak (abs mag)","Stations","LonBeg","LatBeg","Ht_beg (km)","LonEnd","LatEnd","Ht_end (km)","Shower","Radiant RA","Radiant DEC"
" 2023-08-12 07:30:19.264269","  59.37397","     0.55","  -1.80"," US0036,US003N","   -76.389507","    40.003211"," 114.7349","   -76.544294","    39.870336","  89.0097","Perseids","  49.37620"," +59.21100"
" 2023-08-12 07:30:26.535563","  58.90903","     0.56","  -2.77"," CA001R,CA002H","   -74.503846","    45.323406"," 111.5427","   -74.668228","    45.232065","  85.2592","Perseids","  47.74597"," +56.53181"
" 2023-08-12 07:30:30.083361","  59.86291","     0.36","  -1.32"," US0035,US003M","   -79.175474","    39.661003"," 109.5427","   -79.272961","    39.584729","  94.7455","Perseids","  48.92634"," +57.36328"
" 2023-08-12 07:30:36.274758","  39.26456","     0.24","  -0.39"," US0005,US000A,US000J","  -106.855952","    35.403546","  95.1945","  -106.880865","    35.445533","  87.3048","Northern June Aquilids"," 339.73799","  +3.56850"
" 2023-08-12 07:30:36.425713","  59.83331","     0.67","  -3.13"," CA000B,CA002Q,CA002R","   -69.378896","    46.585032"," 118.9881","   -69.559007","    46.483230","  83.2402","Perseids","  44.05906"," +57.72209"
" 2023-08-12 07:30:55.295898","  65.47868","     0.51","  -0.63"," US001Q,US0027","  -117.298511","    32.829930"," 104.8568","  -117.561253","    32.647404","  96.2919","...","  55.09969"," +40.71830"
" 2023-08-12 07:31:05.088643","  57.99276","     0.36","  -1.90"," US001Q,US0027","  -117.177723","    32.055121"," 108.4643","  -117.282979","    31.938722","  99.2404","Perseids","  41.68818"," +57.72237"
" 2023-08-12 07:31:12.249457","  59.44708","     0.69","  -3.23"," CA000F,CA000Q,CA000R","   -72.702981","    46.145536"," 117.2789","   -72.863453","    46.044096","  85.2789","Perseids","  42.22101"," +58.89739"
" 2023-08-12 07:31:27.822497","  58.04629","     0.35","  -1.80"," US003L,USN005","   -87.697930","    34.643857"," 108.3743","   -87.791198","    34.557107","  95.1651","Perseids","  44.08693"," +56.97573"
" 2023-08-12 07:32:29.879815","  58.95317","     0.41","  -2.19"," CA000F,CA000V","   -74.990181","    46.222011"," 108.3921","   -75.094650","    46.162913","  89.8226","Perseids","  43.71648"," +57.62072"
" 2023-08-12 07:33:58.561691","  60.00490","     0.33","  -0.64"," US0006,US0008,US000A,US000C,US000M,US000N,US0030","  -105.074263","    35.226010"," 109.7281","  -105.185039","    35.117654","  98.3423","Perseids","  46.71830"," +57.70897"
" 2023-08-12 07:34:03.708073","  59.31420","     0.24","  -0.49"," US0005,US000J","  -108.105529","    35.292984"," 108.2889","  -108.186461","    35.213805"," 100.2787","Perseids","  45.70732"," +57.53096"
" 2023-08-12 07:34:42.780562","  57.74091","     0.27","  +0.47"," US0003,US0005,US000A,US000C,US000J,US000K","  -106.655997","    35.091681"," 111.1708","  -106.747928","    35.001980"," 102.4953","Perseids","  49.32011"," +57.05112"
" 2023-08-12 07:35:08.000824","  60.44903","     0.49","  -1.26"," CA002Q,CA002R","   -71.094129","    45.685788"," 114.4040","   -71.221127","    45.611104","  90.9159","Perseids","  46.76311"," +57.61250"
" 2023-08-12 07:35:43.230486","  64.16767","     0.64","  -2.31"," US0003,US000J,US000R","  -107.797500","    36.382882"," 113.1322","  -108.114497","    36.227198","  94.2943","KAP","  47.21238"," +40.71677"
" 2023-08-12 07:36:29.650995","  51.29510","     0.24","  -0.43"," US000A,US000J","  -106.510668","    35.435743"," 106.5608","  -106.540899","    35.416871","  94.4236","..."," 345.35713"," +44.00171"
" 2023-08-12 07:37:28.269305","  60.06790","     0.69","  -3.56"," CA002J,US0031","   -70.484250","    45.176837"," 114.4524","   -70.653120","    45.076722","  82.7503","Perseids","  47.07796"," +57.20588"
" 2023-08-12 07:37:31.880792","  57.49203","     0.33","  -0.13"," US0005,US0009,US000C,US000M","  -106.529741","    34.166700"," 109.9853","  -106.634672","    34.059693","  99.2128","Perseids","  46.37658"," +57.98977"
" 2023-08-12 07:37:39.058987","  60.11529","     0.33","  -0.95"," CA000F,CA000V,CA0020,CA002G","   -74.169328","    46.236858"," 108.2834","   -74.251489","    46.190772","  93.4997","Perseids","  45.14090"," +57.50342"
" 2023-08-12 07:38:30.272147","  58.18645","     0.41","  -1.09"," US001N,US002A","   -71.537092","    41.753038"," 111.0295","   -71.634946","    41.686536","  92.6926","Perseids","  46.71378"," +56.17441"
" 2023-08-12 07:39:43.124417","  68.46060","     0.42","  -2.95"," BR000J,BR0013","   -48.864400","   -20.207764"," 114.2371","   -48.990515","   -20.348967","  93.4520","...","  54.18908"," +15.37807"
" 2023-08-12 07:39:59.819599","  58.19230","     0.29","  -0.15"," US0003,US0005","  -107.474086","    34.424046"," 108.9931","  -107.558328","    34.341016"," 100.7390","Perseids","  47.40308"," +57.19289"
" 2023-08-12 07:40:50.424354","  57.24279","     0.24","  +1.32"," US0039,US003N","   -76.665304","    39.267453"," 108.1489","   -76.726504","    39.217705","  97.9389","Perseids","  49.68851"," +57.60287"
" 2023-08-12 07:41:05.961184","  54.65028","     0.29","  -0.07"," US0035,US003M,US003R","   -78.215076","    40.023007"," 112.4356","   -78.297709","    39.968741"," 100.1015","...","  49.78119"," +54.53018"
" 2023-08-12 07:41:41.942441","  57.73621","     0.29","  -1.40"," CA002J,CA002Q,CA002R","   -69.877046","    45.891388"," 107.6031","   -69.941657","    45.851971","  95.0200","Perseids","  48.05524"," +58.24783"
" 2023-08-12 07:42:05.206487","  57.38185","     0.37","  -0.63"," US001N,US002A","   -71.001207","    41.744608"," 111.3863","   -71.081191","    41.683412","  94.2842","Perseids","  44.12729"," +57.48933"
" 2023-08-12 07:42:11.074530","  21.18980","     1.24","  +0.07"," US0003,US0009","  -107.873354","    34.076533","  93.3492","  -107.734177","    33.996010","  72.1289","..."," 276.80558"," +46.48466"
" 2023-08-12 07:42:51.245787","  58.79882","     0.28","  -0.69"," US0036,US003N","   -76.407264","    39.416532"," 109.4637","   -76.482568","    39.355318","  95.7524","Perseids","  46.14233"," +57.34607"
" 2023-08-12 07:43:45.212221","  43.29176","     0.44","  -1.08"," CA000F,CA000Q,CA000R","   -73.147523","    45.841136"," 101.9799","   -73.181683","    45.738243","  89.2720","...","  85.25666"," +81.33959"
" 2023-08-12 07:44:27.343797","  64.26338","     0.24","  -0.96"," US000M,US0030","  -104.545027","    34.888453"," 109.7230","  -104.637278","    34.815516"," 100.9330","...","  45.81254"," +52.89442"
" 2023-08-12 07:45:15.938424","  59.88631","     0.28","  -2.35"," CA000F,CA000R","   -72.768466","    47.219796"," 107.3762","   -72.822276","    47.188817","  96.6565","Perseids","  44.87019"," +58.61734"
" 2023-08-12 07:45:38.696900","  37.93022","     0.40","  +1.17"," US0003,US0005,US000C,US000J,US000K","  -106.627983","    34.586691"," 101.7026","  -106.664401","    34.662232","  91.5762","..."," 344.10543","  -6.26108"
" 2023-08-12 07:46:46.675892","  57.98173","     0.32","  -0.65"," US001N,US002A","   -70.308370","    41.853323"," 110.5925","   -70.389556","    41.794649","  94.6008","Perseids","  48.82325"," +57.08967"
" 2023-08-12 07:46:56.640714","  56.51335","     0.32","  -1.88"," US001N,US002A","   -69.420543","    41.692195"," 107.9511","   -69.485982","    41.627382","  92.3692","...","  46.52702"," +61.26493"
" 2023-08-12 07:48:24.111654","  61.14578","     0.28","  -0.73"," US0005,US0009","  -106.941013","    33.749504"," 109.5534","  -107.048496","    33.649582"," 100.7294","...","  54.80414"," +54.54810"
" 2023-08-12 07:49:05.665281","  61.59178","     0.32","  -2.59"," US001N,US002A","   -67.955359","    40.439825"," 106.0619","   -68.028907","    40.387469","  91.1878","Perseids","  49.52747"," +55.36563"
